Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",11.910000,-4.610000,180.000000,top
"C2","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",10.910000,-8.410000,180.000000,top
"C3","0.8pF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",7.800000,-3.150000,180.000000,top
"C5","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.807500,-16.930000,180.000000,top
"C6","4.7µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",20.990000,-21.900000,0.000000,top
"C7","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",23.330000,-10.220000,90.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",23.770000,-7.870000,0.000000,top
"C9","820pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",19.530000,-6.500000,0.000000,top
"C10","nc","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.740000,-4.780000,180.000000,top
"C11","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",14.800000,-6.130000,180.000000,top
"C12","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",13.940000,-8.672500,-90.000000,top
"C13","nc","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",12.242500,-9.510000,180.000000,top
"C14","1µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",12.900000,-17.770000,-90.000000,top
"C15","1µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",9.200000,-10.890000,90.000000,top
"C16","47nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",10.670000,-11.402500,90.000000,top
"C17","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",14.260000,-19.510000,90.000000,top
"C18","12pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",17.880000,-21.840000,-90.000000,top
"C19","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",19.620000,-16.230000,0.000000,top
"C20","4.7µF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",25.270000,-18.180000,180.000000,top
"C21","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.430000,-15.290000,90.000000,top
"J1","Conn_01x20_Female","CastelatedHoles 1mm",7.910000,-25.010000,90.000000,top
"J2","Conn_01x20_Female","CastelatedHoles 1mm",7.900000,0.000000,90.000000,top
"J3","Conn_01x20_Female","CastelatedHoles 1mm",30.900000,-3.010000,0.000000,top
"L1","3.9nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",7.700000,-4.310000,0.000000,top
"L2","10µH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",11.350000,-14.340000,180.000000,top
"L3","15nH","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",8.260000,-13.827500,90.000000,top
"L4","10µH","L_1210_3225Metric_Pad1.42x2.65mm_HandSolder",20.280000,-18.990000,180.000000,top
"R1","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",24.710000,-14.210000,-90.000000,top
"SW1","SW_Push","SW_SPST_PTS636",27.310000,-10.540000,90.000000,top
"U1","nRF52840","Nordic_AQFN-73-1EP_7x7mm_P0.5mm",18.430000,-10.970000,90.000000,top
"X1","Crystal","XRCGB32M000F2P01R0",10.735000,-6.510000,180.000000,top
"X2","32.768kHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",16.060000,-20.490000,90.000000,top
